id,description,userName,rating
833,Map 833,pbarnett,3.7
834,Map 834,brendawilliams,3.7
835,Map 835,loganrichard,2.2
836,Map 836,carolyncollins,2.2
837,Map 837,jesusbraun,3.0
838,Map 838,sarah25,2.7
839,Map 839,nelsonconnie,4.6
840,Map 840,anne63,2.0
841,Map 841,coleamy,4.4
842,Map 842,crystalrussell,1.5
843,Map 843,brandonsantos,2.3
844,Map 844,ffrazier,1.1
845,Map 845,michael27,4.1
846,Map 846,qbrown,2.9
847,Map 847,umclaughlin,2.4
848,Map 848,andersonlori,2.4
849,Map 849,kevin12,3.9
850,Map 850,erincook,2.5
851,Map 851,cynthiarose,3.0
852,Map 852,thomasjoshua,1.1
853,Map 853,kimberlyfischer,1.8
854,Map 854,brian45,3.7
855,Map 855,cadkins,4.7
856,Map 856,ybailey,1.3
857,Map 857,sabrina69,3.2
858,Map 858,ejones,2.5
859,Map 859,fgriffin,1.9
860,Map 860,durhammelinda,4.5
861,Map 861,wilsonfrank,4.1
862,Map 862,loganrichard,4.7
863,Map 863,kimberly58,3.9
864,Map 864,denise28,4.1
865,Map 865,vwilson,1.8
866,Map 866,steven55,1.4
867,Map 867,charlesrogers,2.0
868,Map 868,bryantjulie,4.8
869,Map 869,danielwood,3.3
870,Map 870,hatfieldchristine,1.2
871,Map 871,wadechristopher,4.0
872,Map 872,michaelgraves,2.7
873,Map 873,jameswoods,4.5
874,Map 874,justinward,3.1
875,Map 875,barkerpaul,1.7
876,Map 876,taylortroy,1.2
877,Map 877,awarren,4.9
878,Map 878,reginavaldez,1.6
879,Map 879,vwilson,1.3
880,Map 880,brendawhitehead,4.0
881,Map 881,kevinbarnes,2.4
882,Map 882,anthonyramirez,4.7
883,Map 883,erincook,4.3
884,Map 884,millermichael,4.7
885,Map 885,dgates,4.3
886,Map 886,zrandall,3.2
887,Map 887,davidwheeler,5.0
888,Map 888,autumnsantiago,3.9
889,Map 889,kevinbarnes,2.3
890,Map 890,delgadocharles,4.3
891,Map 891,esmith,1.1
892,Map 892,parkerian,1.4
893,Map 893,aking,4.7
894,Map 894,gravesnatalie,4.8
895,Map 895,mckenziedominique,3.4
896,Map 896,alejandroaguilar,4.6
897,Map 897,floydmaria,4.6
898,Map 898,carlos39,1.6
899,Map 899,nicholas92,4.3
900,Map 900,qbradshaw,4.1
901,Map 901,karispence,4.4
902,Map 902,joseph62,2.4
903,Map 903,micheleguzman,4.7
904,Map 904,fwilliams,4.0
905,Map 905,lauraweiss,2.2
906,Map 906,louis89,4.3
907,Map 907,alejandroaguilar,2.5
908,Map 908,zjenkins,3.6
909,Map 909,ubradley,2.9
910,Map 910,sabrina69,4.3
911,Map 911,dortiz,3.1
912,Map 912,micheleyu,2.2
913,Map 913,luis99,2.2
914,Map 914,kristinahenderson,2.3
915,Map 915,allisonmathews,4.2
916,Map 916,brad70,4.5
917,Map 917,thomasjames,2.7
918,Map 918,huntkimberly,1.7
919,Map 919,melindamyers,3.7
920,Map 920,zbuchanan,2.1
921,Map 921,devin42,2.7
922,Map 922,zthomas,1.4
923,Map 923,tharris,1.4
924,Map 924,shall,3.5
925,Map 925,kyleaguilar,3.8
926,Map 926,paul27,3.7
927,Map 927,tomstone,2.6
928,Map 928,petersonhannah,3.6
929,Map 929,kirkpatrick,1.3
930,Map 930,garciadavid,4.7
931,Map 931,atyler,3.5
932,Map 932,amy88,3.0
933,Map 933,meyersteven,4.9
934,Map 934,michele09,3.1
935,Map 935,beckyduarte,1.7
936,Map 936,victor49,4.9
937,Map 937,torrescarlos,1.1
938,Map 938,joannegreene,2.9
939,Map 939,jessicadavis,3.8
940,Map 940,davidjones,2.5
941,Map 941,dlee,1.6
942,Map 942,qpruitt,4.5
943,Map 943,romanheather,1.4
944,Map 944,pennyjensen,1.9
945,Map 945,elizabethwilson,4.0
946,Map 946,elizabeth70,2.4
947,Map 947,guerreroheidi,4.3
948,Map 948,hermankristen,4.0
949,Map 949,morganlowe,1.4
950,Map 950,marissawest,4.8
951,Map 951,lisaalvarez,2.6
952,Map 952,alyssastanley,2.6
953,Map 953,ericmiller,2.4
954,Map 954,thomaskristina,2.4
955,Map 955,orozcoandrew,4.8
956,Map 956,meganlong,2.6
957,Map 957,christinajohnson,3.6
958,Map 958,tiffany59,3.1
959,Map 959,joneseric,3.5
960,Map 960,travishughes,2.5
961,Map 961,laura45,2.4
962,Map 962,ronaldbell,3.0
963,Map 963,ashlee33,2.5
964,Map 964,denise07,2.5
965,Map 965,osellers,3.7
966,Map 966,qmorris,2.0
967,Map 967,stephaniegomez,1.8
968,Map 968,gperkins,1.9
969,Map 969,jonesscott,2.4
970,Map 970,julie07,3.3
971,Map 971,arielsteele,3.9
972,Map 972,heidi66,5.0
973,Map 973,gary86,1.3
974,Map 974,unorris,1.9
975,Map 975,matthewstewart,1.2
976,Map 976,murrayeric,1.6
977,Map 977,sarah77,2.3
978,Map 978,caroline25,2.6
979,Map 979,laurie14,4.0
980,Map 980,terrireyes,2.7
981,Map 981,elizabethgarcia,5.0
982,Map 982,devin42,2.4
983,Map 983,nallen,4.7
984,Map 984,haynesgregory,3.1
985,Map 985,melissa82,3.1
986,Map 986,gary83,3.7
987,Map 987,dramirez,2.6
988,Map 988,hollysteele,3.3
989,Map 989,fmoore,3.6
990,Map 990,courtneycastillo,1.6
991,Map 991,crossbrent,2.0
992,Map 992,suzanne58,1.4
993,Map 993,anne63,5.0
994,Map 994,sandraparker,1.6
995,Map 995,dwagner,1.7
996,Map 996,williamsanita,4.6
997,Map 997,timothy44,2.7
998,Map 998,baldwinkatherine,3.0
999,Map 999,williamsonmackenzie,2.2
1000,Map 1000,gregoryturner,4.3
1001,Map 1001,mberry,3.9
1002,Map 1002,johnmartinez,1.9
1003,Map 1003,careymark,1.5
1004,Map 1004,xsimmons,1.5
1005,Map 1005,qbradshaw,4.3
1006,Map 1006,thomasjoshua,3.5
1007,Map 1007,julian60,3.0
1008,Map 1008,aguilarjonathan,1.8
1009,Map 1009,michelle76,4.4
1010,Map 1010,adam47,1.8
1011,Map 1011,ycurry,1.2
1012,Map 1012,qbradshaw,2.1
1013,Map 1013,melindamyers,4.7
1014,Map 1014,joseph82,1.4
1015,Map 1015,kennethbrown,1.2
1016,Map 1016,anne63,2.2
1017,Map 1017,todd89,2.0
1018,Map 1018,christopherellis,3.9
1019,Map 1019,matthewstewart,1.1
1020,Map 1020,fmullen,3.5
1021,Map 1021,gbarrett,1.5
1022,Map 1022,caroline25,4.4
1023,Map 1023,dgates,4.2
1024,Map 1024,hansenernest,3.5
1025,Map 1025,aaron62,2.3
1026,Map 1026,omooney,2.8
1027,Map 1027,jose99,2.6
1028,Map 1028,holmesstacy,2.8
1029,Map 1029,brandon78,2.8
1030,Map 1030,julia07,1.3
1031,Map 1031,penatyler,1.5
1032,Map 1032,zgriffin,2.4
1033,Map 1033,brendawhitehead,3.0
1034,Map 1034,barryholden,3.3
1035,Map 1035,rebecca03,1.5
1036,Map 1036,jason66,2.0
1037,Map 1037,scotttodd,4.4
1038,Map 1038,wallacedarryl,1.6
1039,Map 1039,sarah75,2.7
1040,Map 1040,ashleysnyder,1.6
1041,Map 1041,dwagner,4.9
1042,Map 1042,lauraperez,3.6
1043,Map 1043,schmidtannette,1.3
1044,Map 1044,sheenabrady,4.0
1045,Map 1045,ericrodriguez,3.8
1046,Map 1046,isimmons,4.9
1047,Map 1047,zfrancis,1.9
1048,Map 1048,heatherdavis,2.9
1049,Map 1049,gbarrett,3.2
1050,Map 1050,gouldjessica,2.4
1051,Map 1051,louis89,1.8
1052,Map 1052,kristinrussell,4.0
1053,Map 1053,lorozco,2.6
1054,Map 1054,richrachel,1.8
1055,Map 1055,leejennifer,3.5
1056,Map 1056,dwebb,2.0
1057,Map 1057,donna86,2.5
1058,Map 1058,thomaskristina,1.5
1059,Map 1059,scott24,3.6
1060,Map 1060,harrislacey,1.9
1061,Map 1061,andersonlori,4.0
1062,Map 1062,wrightjoseph,3.0
1063,Map 1063,stuart47,1.8
1064,Map 1064,suzannewoods,4.7
1065,Map 1065,michaelmyers,4.1
1066,Map 1066,tarawhite,1.3
1067,Map 1067,ginawood,2.1
1068,Map 1068,paul27,4.2
1069,Map 1069,rbond,1.6
1070,Map 1070,lisaalvarez,1.1
1071,Map 1071,ghall,3.3
1072,Map 1072,omcmahon,2.1
1073,Map 1073,petersonjohn,2.0
1074,Map 1074,benjamingriffith,4.6
1075,Map 1075,andrea89,1.3
1076,Map 1076,millerlinda,3.8
1077,Map 1077,olsonisaiah,2.4
1078,Map 1078,talvarez,2.2
1079,Map 1079,xruiz,2.4
1080,Map 1080,michaelmyers,4.0
1081,Map 1081,davidroberts,1.1
1082,Map 1082,qbarrett,2.4
1083,Map 1083,juliecarroll,3.3
1084,Map 1084,rbond,4.1
1085,Map 1085,perkinsmichelle,3.4
1086,Map 1086,cooleycarl,4.6
1087,Map 1087,clarkbailey,1.5
1088,Map 1088,zachary84,3.4
1089,Map 1089,sarah03,1.2
1090,Map 1090,dominguezlisa,3.8
1091,Map 1091,ksimpson,2.5
1092,Map 1092,james02,1.4
1093,Map 1093,gibsonjames,4.5
1094,Map 1094,holmesstacy,3.9
1095,Map 1095,awarren,3.1
1096,Map 1096,danielle90,3.1
1097,Map 1097,marybraun,3.3
1098,Map 1098,fowen,2.8
1099,Map 1099,smithcarla,4.7
1100,Map 1100,christopher66,1.2
1101,Map 1101,andrea37,1.4
1102,Map 1102,nguyentravis,3.6
1103,Map 1103,pennyjensen,2.7
1104,Map 1104,mgeorge,1.5
1105,Map 1105,dwoods,3.4
1106,Map 1106,jacobglenn,1.6
1107,Map 1107,bwhite,4.8
1108,Map 1108,tlopez,4.7
1109,Map 1109,bcampbell,2.0
1110,Map 1110,angelacortez,2.2
1111,Map 1111,fowen,1.7
1112,Map 1112,sharon07,2.8
1113,Map 1113,brandon60,1.3
1114,Map 1114,morrisedgar,1.4
1115,Map 1115,tlopez,1.6
1116,Map 1116,danielle90,2.9
1117,Map 1117,josephsmith,2.6
1118,Map 1118,stephensdaniel,3.0
1119,Map 1119,johnwade,4.9
1120,Map 1120,brandon60,4.5
1121,Map 1121,smithmichael,2.4
1122,Map 1122,usmith,4.2
1123,Map 1123,shannonjohnson,3.6
1124,Map 1124,julie54,2.5
1125,Map 1125,hsalazar,1.3
1126,Map 1126,kimberlyfischer,4.8
1127,Map 1127,veronica23,2.7
1128,Map 1128,xwade,1.5
1129,Map 1129,scott79,2.8
1130,Map 1130,ramirezalexis,3.0
1131,Map 1131,sarah75,3.8
1132,Map 1132,griffindonna,4.8
1133,Map 1133,kristen74,3.9
1134,Map 1134,sonyasmith,3.5
1135,Map 1135,brent57,3.3
1136,Map 1136,xwade,1.3
1137,Map 1137,brandonlee,4.6
1138,Map 1138,qbarrett,1.8
1139,Map 1139,sextonriley,2.3
1140,Map 1140,zbuchanan,2.6
1141,Map 1141,johnsoncheryl,1.6
1142,Map 1142,eduran,1.6
1143,Map 1143,danielle33,2.4
1144,Map 1144,padillajoseph,4.0
1145,Map 1145,hatfieldchristine,1.8
1146,Map 1146,aprilperry,2.7
1147,Map 1147,caldwelldavid,4.7
1148,Map 1148,nicholsmatthew,4.5
1149,Map 1149,julie54,4.5
1150,Map 1150,timothy10,1.1
1151,Map 1151,craigelizabeth,2.9
1152,Map 1152,jensenmeghan,2.3
1153,Map 1153,hayden62,1.9
1154,Map 1154,scott14,2.4
1155,Map 1155,michaelwalsh,1.4
1156,Map 1156,andrewalvarado,4.9
1157,Map 1157,romanheather,1.9
1158,Map 1158,joseph68,4.8
1159,Map 1159,mmoore,2.9
1160,Map 1160,saracohen,2.0
1161,Map 1161,wrodriguez,4.8
1162,Map 1162,ashlee33,3.5
1163,Map 1163,harrellmarcus,2.0
1164,Map 1164,larry18,1.6
1165,Map 1165,garciadavid,3.1
1166,Map 1166,matthewsmith,1.4
1167,Map 1167,austinjames,3.0
1168,Map 1168,zacharycarter,2.9
1169,Map 1169,haynesgregory,2.5
1170,Map 1170,cooleycarl,4.1
1171,Map 1171,wedwards,3.2
1172,Map 1172,parkerhaley,2.4
1173,Map 1173,alec83,4.8
1174,Map 1174,xwade,1.2
1175,Map 1175,qboyd,1.3
1176,Map 1176,ghall,3.0
1177,Map 1177,jessebrown,2.1
1178,Map 1178,laura06,2.3
1179,Map 1179,orozcoandrew,1.7
1180,Map 1180,tannermitchell,2.9
1181,Map 1181,morganjennifer,2.9
1182,Map 1182,stephaniespence,5.0
1183,Map 1183,xgibson,2.1
1184,Map 1184,allisonmathews,3.1
1185,Map 1185,scott14,3.0
1186,Map 1186,karendorsey,4.9
1187,Map 1187,lopezbeth,3.3
1188,Map 1188,christina02,2.0
1189,Map 1189,baldwinkatherine,1.4
1190,Map 1190,joelhamilton,1.4
1191,Map 1191,millermichael,3.5
1192,Map 1192,cruzdavid,1.6
1193,Map 1193,qlucas,1.6
1194,Map 1194,daniel39,4.0
1195,Map 1195,adam16,1.0
1196,Map 1196,cassidyalexander,3.6
1197,Map 1197,stricklandtamara,1.9
1198,Map 1198,bbriggs,1.3
1199,Map 1199,allison70,1.8
1200,Map 1200,deborah23,3.8
1201,Map 1201,pennyjensen,4.5
1202,Map 1202,adam50,1.9
1203,Map 1203,logan20,4.8
1204,Map 1204,petersonhannah,1.1
1205,Map 1205,juanrussell,4.3
1206,Map 1206,solomonlisa,4.5
1207,Map 1207,ynunez,1.9
1208,Map 1208,wilsonderrick,4.7
1209,Map 1209,james61,3.1
1210,Map 1210,orozcoandrew,2.6
1211,Map 1211,jtucker,4.7
1212,Map 1212,erica71,3.2
1213,Map 1213,gonzaleseddie,4.3
1214,Map 1214,upearson,3.3
1215,Map 1215,fhood,3.8
1216,Map 1216,gmcdonald,4.6
1217,Map 1217,jeffreypierce,4.1
1218,Map 1218,daniel39,1.5
1219,Map 1219,mayshawn,1.7
1220,Map 1220,whitemichael,4.4
1221,Map 1221,daniel96,3.9
1222,Map 1222,brent57,3.4
1223,Map 1223,tharris,4.5
1224,Map 1224,tarawhite,2.9
1225,Map 1225,smithchristina,3.0
1226,Map 1226,williamsanita,3.5
1227,Map 1227,stuart47,4.8
1228,Map 1228,reginavaldez,1.1
1229,Map 1229,gibsonjames,4.1
1230,Map 1230,esmith,2.7
1231,Map 1231,erin67,3.1
1232,Map 1232,andrew57,2.6
1233,Map 1233,samuel67,2.3
1234,Map 1234,timothy29,2.2
1235,Map 1235,ramosmary,3.2
1236,Map 1236,julian60,1.2
1237,Map 1237,laneryan,4.1
1238,Map 1238,gravesnatalie,1.3
1239,Map 1239,kimberly58,4.8
1240,Map 1240,parkerian,1.5
1241,Map 1241,wharris,2.7
1242,Map 1242,tmayo,2.0
1243,Map 1243,martinheather,1.5
1244,Map 1244,davidwheeler,4.3
1245,Map 1245,burnsshari,4.9
1246,Map 1246,gperkins,3.4
1247,Map 1247,matthewbyrd,4.0
1248,Map 1248,cadkins,1.3
1249,Map 1249,louis89,1.0
1250,Map 1250,bwhite,1.9
1251,Map 1251,youngmatthew,4.0
1252,Map 1252,nobrien,2.8
1253,Map 1253,wharris,1.1
1254,Map 1254,tannermitchell,3.2
1255,Map 1255,usmith,3.8
1256,Map 1256,daniellarson,2.8
1257,Map 1257,juan08,3.4
1258,Map 1258,tarawheeler,3.5
1259,Map 1259,juliacaldwell,2.2
1260,Map 1260,johnbaker,2.7
1261,Map 1261,ebraun,1.5
1262,Map 1262,gina37,4.1
1263,Map 1263,stephanie67,3.9
1264,Map 1264,bwhite,4.5
1265,Map 1265,marvin09,1.5
1266,Map 1266,markgonzales,3.1
1267,Map 1267,juliewilliams,1.2
1268,Map 1268,gomezkayla,1.9
1269,Map 1269,jonowen,1.6
1270,Map 1270,hayden62,4.8
1271,Map 1271,costaphillip,3.5
1272,Map 1272,brendawhitehead,2.4
1273,Map 1273,rhays,1.1
1274,Map 1274,blackburnchad,1.0
1275,Map 1275,teresa49,4.6
1276,Map 1276,wproctor,2.5
1277,Map 1277,aaron62,4.2
1278,Map 1278,xphillips,2.9
1279,Map 1279,williamsanita,4.7
1280,Map 1280,petersbrianna,2.1
1281,Map 1281,scotttodd,2.7
1282,Map 1282,duranronald,4.4
1283,Map 1283,htorres,1.1
1284,Map 1284,mckenziedominique,3.7
1285,Map 1285,qbarrett,1.5
1286,Map 1286,crystalrussell,3.2
1287,Map 1287,zrandall,1.3
1288,Map 1288,parkerian,1.2
1289,Map 1289,pricetammy,3.2
1290,Map 1290,fgriffin,3.8
1291,Map 1291,courtneycastillo,4.4
1292,Map 1292,brad70,2.6
1293,Map 1293,micheleguzman,3.5
1294,Map 1294,hansenernest,3.0
1295,Map 1295,nguyenpamela,2.7
1296,Map 1296,bradfordjennifer,4.7
1297,Map 1297,dduncan,4.4
1298,Map 1298,jamesbrady,2.9
1299,Map 1299,htorres,2.1
1300,Map 1300,christophertorres,2.1
1301,Map 1301,derek51,2.4
1302,Map 1302,qlucas,1.5
1303,Map 1303,lauradavis,1.6
1304,Map 1304,stevensscott,4.3
1305,Map 1305,lorichoi,3.4
1306,Map 1306,michaelmyers,2.0
1307,Map 1307,jessicaknight,4.4
1308,Map 1308,khayes,4.4
1309,Map 1309,qbradshaw,3.8
1310,Map 1310,kevinbarnes,3.7
1311,Map 1311,davidroberts,1.3
1312,Map 1312,christophertorres,2.7
1313,Map 1313,nicholsjill,2.8
1314,Map 1314,jessebrown,1.5
1315,Map 1315,ginawood,1.2
1316,Map 1316,melissa16,3.1
1317,Map 1317,gina37,3.9
1318,Map 1318,pricetammy,3.2
1319,Map 1319,lisamaddox,3.6
1320,Map 1320,fwilliams,3.0
1321,Map 1321,pennyjensen,4.3
1322,Map 1322,shall,2.1
1323,Map 1323,carol57,3.2
1324,Map 1324,kristinrussell,3.4
1325,Map 1325,logan20,3.1
1326,Map 1326,dominguezlisa,4.1
1327,Map 1327,ijames,1.7
1328,Map 1328,andrea11,4.2
1329,Map 1329,smithedward,1.7
1330,Map 1330,gina37,1.5
1331,Map 1331,rhodge,5.0
1332,Map 1332,stanleykeith,1.0
1333,Map 1333,juliacaldwell,3.8
1334,Map 1334,justinconner,4.0
1335,Map 1335,dlopez,2.1
1336,Map 1336,tsolomon,1.9
1337,Map 1337,cruzdavid,1.4
1338,Map 1338,lorozco,4.6
1339,Map 1339,felicia04,3.3
1340,Map 1340,morganjennifer,2.3
1341,Map 1341,iwolfe,4.3
1342,Map 1342,douglas61,4.1
1343,Map 1343,steven55,2.0
1344,Map 1344,lauraperez,2.0
1345,Map 1345,richard01,1.5
1346,Map 1346,johnlopez,4.8
1347,Map 1347,jchambers,1.9
1348,Map 1348,jason66,1.9
1349,Map 1349,jasminedurham,3.9
1350,Map 1350,julie54,1.2
1351,Map 1351,wking,4.6
1352,Map 1352,yanderson,3.0
1353,Map 1353,solomonlisa,3.8
1354,Map 1354,andrea47,2.4
1355,Map 1355,hcuevas,2.4
1356,Map 1356,conradjohn,3.9
1357,Map 1357,kellymay,2.8
1358,Map 1358,tomstone,1.1
1359,Map 1359,danielle33,1.8
1360,Map 1360,smithcarla,1.0
1361,Map 1361,luis99,4.8
1362,Map 1362,awatts,3.0
1363,Map 1363,dlopez,2.2
1364,Map 1364,maria65,2.2
1365,Map 1365,jchambers,2.2
1366,Map 1366,donald10,1.0
1367,Map 1367,yweaver,1.0
1368,Map 1368,linda26,3.1
1369,Map 1369,charles03,4.3
1370,Map 1370,kevin16,1.5
1371,Map 1371,travishughes,5.0
1372,Map 1372,mmoore,1.7
1373,Map 1373,williamsjill,2.6
1374,Map 1374,shannoncohen,4.1
1375,Map 1375,gerald71,1.6
1376,Map 1376,yorkjohn,1.7
1377,Map 1377,daviddennis,2.1
1378,Map 1378,flowersmatthew,4.3
1379,Map 1379,barryholden,3.2
1380,Map 1380,ijames,4.8
1381,Map 1381,huntjenny,1.3
1382,Map 1382,sextonriley,2.8
1383,Map 1383,eric28,1.2
1384,Map 1384,fgriffin,4.6
1385,Map 1385,qanderson,2.2
1386,Map 1386,zbarker,2.5
1387,Map 1387,yfernandez,1.5
1388,Map 1388,joshua06,1.9
1389,Map 1389,darrell96,4.1
1390,Map 1390,shanedavila,3.2
1391,Map 1391,usmith,2.8
1392,Map 1392,davidjones,4.4
1393,Map 1393,chadglenn,1.5
1394,Map 1394,martinezsherry,2.6
1395,Map 1395,deanna87,3.7
1396,Map 1396,guerrerobrenda,1.3
1397,Map 1397,autumnsantiago,1.2
1398,Map 1398,cheyennerichard,3.1
1399,Map 1399,talvarez,1.5
1400,Map 1400,maurice19,1.3
1401,Map 1401,jonesjulia,4.8
1402,Map 1402,staceybartlett,3.1
1403,Map 1403,james49,3.0
1404,Map 1404,vbrown,2.5
1405,Map 1405,gregoryturner,4.5
1406,Map 1406,stefanie40,3.3
1407,Map 1407,xwade,2.0
1408,Map 1408,palmermatthew,4.9
1409,Map 1409,awatts,3.9
1410,Map 1410,laura06,2.0
1411,Map 1411,montoyachristopher,4.5
1412,Map 1412,jwilliams,5.0
1413,Map 1413,esmith,2.7
1414,Map 1414,sarahgraves,1.5
1415,Map 1415,craigelizabeth,2.6
1416,Map 1416,phernandez,3.6
1417,Map 1417,beckyduarte,3.7
1418,Map 1418,delgadocharles,4.9
1419,Map 1419,mgeorge,3.1
1420,Map 1420,suzanne58,2.8
1421,Map 1421,brandon60,1.0
1422,Map 1422,tharris,2.2
1423,Map 1423,zking,3.3
1424,Map 1424,brent57,3.0
1425,Map 1425,courtneycastillo,2.8
1426,Map 1426,urobinson,1.4
1427,Map 1427,mark72,4.0
1428,Map 1428,angelica15,2.0
1429,Map 1429,castanedabobby,4.9
1430,Map 1430,greerkaren,4.1
1431,Map 1431,davidroberts,1.6
1432,Map 1432,joseph10,2.4
1433,Map 1433,johnnyjohnson,3.8
1434,Map 1434,sanchezrichard,3.4
1435,Map 1435,bfoster,4.1
1436,Map 1436,linda84,1.7
1437,Map 1437,alexismelendez,3.6
1438,Map 1438,ecole,1.2
1439,Map 1439,bfoster,2.3
1440,Map 1440,richard01,1.7
1441,Map 1441,aaron62,4.1
1442,Map 1442,maxwell15,3.3
1443,Map 1443,ufoster,2.0
1444,Map 1444,ryan38,4.1
1445,Map 1445,douglas61,1.7
1446,Map 1446,jameswoods,3.5
1447,Map 1447,elizabethfitzgerald,4.1
1448,Map 1448,perkinsmichelle,4.2
1449,Map 1449,manuel78,2.9
1450,Map 1450,troycole,3.0
1451,Map 1451,alec83,1.4
1452,Map 1452,jtucker,3.3
1453,Map 1453,cheath,2.1
1454,Map 1454,melissa16,3.6
1455,Map 1455,michaelstevens,4.8
1456,Map 1456,luissmith,2.0
1457,Map 1457,deborah23,4.3
1458,Map 1458,wharris,4.3
1459,Map 1459,qanderson,4.8
1460,Map 1460,juliebrown,3.7
1461,Map 1461,emily19,2.8
1462,Map 1462,dwoods,2.3
1463,Map 1463,rodriguezjoshua,1.7
1464,Map 1464,gina37,1.4
1465,Map 1465,gjackson,4.7
1466,Map 1466,vhanson,3.4
1467,Map 1467,lhenderson,2.2
1468,Map 1468,cbrown,2.5
1469,Map 1469,scott24,3.6
1470,Map 1470,brianavila,4.2
1471,Map 1471,michaelwalsh,2.9
1472,Map 1472,james21,3.0
1473,Map 1473,egeorge,4.5
1474,Map 1474,nicole47,1.1
1475,Map 1475,baileyhailey,1.1
1476,Map 1476,umclaughlin,3.0
1477,Map 1477,allisonmathews,4.5
1478,Map 1478,terrencerobinson,2.8
1479,Map 1479,dduncan,1.1
1480,Map 1480,julie07,4.0
1481,Map 1481,sarah77,3.0
1482,Map 1482,daniellarson,4.4
1483,Map 1483,laura52,2.2
1484,Map 1484,sherri87,4.1
1485,Map 1485,karen61,4.4
1486,Map 1486,rhays,1.5
1487,Map 1487,dorseystephanie,4.3
1488,Map 1488,bvaughn,4.4
1489,Map 1489,gking,2.7
1490,Map 1490,calvin75,3.3
1491,Map 1491,veronica23,3.7
1492,Map 1492,louis89,3.2
1493,Map 1493,cynthia38,4.7
1494,Map 1494,michaelgomez,4.1
1495,Map 1495,dramirez,2.2
1496,Map 1496,heather94,2.7
1497,Map 1497,stacybrown,1.8
1498,Map 1498,emily19,3.4
1499,Map 1499,scraig,1.2
1500,Map 1500,stephanie56,4.7
1501,Map 1501,kristinrussell,2.3
1502,Map 1502,freemanbryan,1.7
1503,Map 1503,jason35,4.6
1504,Map 1504,frankgould,2.0
1505,Map 1505,gerald71,2.9
1506,Map 1506,nicholsmatthew,4.4
1507,Map 1507,gibsonjames,4.4
1508,Map 1508,loriclark,2.4
1509,Map 1509,adamschaefer,2.9
1510,Map 1510,jessewade,4.9
1511,Map 1511,jjohnson,4.1
1512,Map 1512,martinheather,3.4
1513,Map 1513,stevencameron,3.0
1514,Map 1514,jennifersmith,2.1
1515,Map 1515,jenna89,1.8
1516,Map 1516,mcphersonhannah,2.0
1517,Map 1517,tomstone,3.3
1518,Map 1518,fmora,2.1
1519,Map 1519,jchambers,2.1
1520,Map 1520,robinwhite,3.0
1521,Map 1521,lindsay66,1.8
1522,Map 1522,charles03,2.3
1523,Map 1523,joseph82,2.9
1524,Map 1524,kyleaguilar,2.3
1525,Map 1525,belltina,1.1
1526,Map 1526,rjenkins,1.0
1527,Map 1527,michelle76,4.4
1528,Map 1528,mbrown,2.3
1529,Map 1529,jessebrown,1.1
1530,Map 1530,klowe,2.8
1531,Map 1531,luis99,2.0
1532,Map 1532,timothy10,1.1
1533,Map 1533,kevin16,3.9
1534,Map 1534,tina45,2.9
1535,Map 1535,bentleymadison,2.8
1536,Map 1536,andersonlori,1.3
1537,Map 1537,omcmahon,3.5
1538,Map 1538,kcontreras,1.2
1539,Map 1539,barkerpaul,1.3
1540,Map 1540,boonekarla,1.4
1541,Map 1541,gjackson,4.1
1542,Map 1542,qbarrett,1.5
1543,Map 1543,znicholson,4.0
1544,Map 1544,ronaldbell,4.1
1545,Map 1545,chadglenn,2.0
1546,Map 1546,zsmith,4.3
1547,Map 1547,matthewstewart,3.2
1548,Map 1548,ivasquez,3.7
1549,Map 1549,melissajoseph,2.3
1550,Map 1550,kristen74,2.0
1551,Map 1551,katelynjones,4.2
1552,Map 1552,tina45,3.9
1553,Map 1553,qboyd,4.1
1554,Map 1554,nicole47,4.6
1555,Map 1555,joseph68,3.6
1556,Map 1556,brandonlee,4.8
1557,Map 1557,eric28,2.4
1558,Map 1558,katelynjones,3.0
1559,Map 1559,brent57,1.7
1560,Map 1560,ashleysnyder,4.2
1561,Map 1561,paul14,2.6
1562,Map 1562,ksteele,1.1
1563,Map 1563,fhood,4.2
1564,Map 1564,xsimmons,4.1
1565,Map 1565,julian18,3.8
1566,Map 1566,emartin,1.2
1567,Map 1567,whitemichael,2.8
1568,Map 1568,ghall,3.5
1569,Map 1569,hollysteele,3.0
1570,Map 1570,johnsontravis,1.7
1571,Map 1571,angelica15,2.3
1572,Map 1572,hurstleah,3.9
1573,Map 1573,martinkristin,4.0
1574,Map 1574,ashlee33,1.9
1575,Map 1575,micheleyu,3.5
1576,Map 1576,mcphersonhannah,3.1
1577,Map 1577,dennismelissa,2.6
1578,Map 1578,maria65,4.7
1579,Map 1579,fowen,2.0
1580,Map 1580,htorres,2.3
1581,Map 1581,robertsonwilliam,3.7
1582,Map 1582,meganlong,4.4
1583,Map 1583,brittanykennedy,2.0
1584,Map 1584,derek51,1.1
1585,Map 1585,shannonricky,2.9
1586,Map 1586,hayden62,4.0
1587,Map 1587,umclaughlin,4.6
1588,Map 1588,wareheidi,4.8
1589,Map 1589,asmith,3.6
1590,Map 1590,haynesdavid,4.2
1591,Map 1591,carl68,2.4
1592,Map 1592,stephanie56,1.2
1593,Map 1593,michael57,3.2
1594,Map 1594,lauradavis,3.1
1595,Map 1595,wproctor,3.8
1596,Map 1596,ufoster,1.6
